ID	NOME
LNLml8BdoSaYEEhKb90u	Bife ao Molho de Queijo
LU8qpVdEnDgwdKxK0pgJ	Cassoulet
LXRPEZLA8R04SJqBMnhl	Panqueca de Frango
LXwvNJauJ4vRZngCWESN	Bolo de Coco
LkeG9klPm2q1aEIFuNLc	Carne Moída com Batata
Mvfj0lfSlwWi5dftjowZ	Creme de Brócolis
NA2VtocBp6VK2fxItCwl	Feijão tropeiro
NFnQHkg8k05t82cWwfWR	Kafta Recheada com Queijo
NQvRp7IXKD8uJLlpphQ7	Batata Rústica
NgEVza8SpemES5fPnnTU	Macarrão com Bacon e Brócolis
OIwZz5iQ2kVEyL5rHpNF	Lentilha com cenoura
OaByr5OeEuPHHchVFqGk	Batata Gratinada
OfTISayCUhnSigyNeF3g	Frango Oriental
P5RVOU0erxc5gO7SJuz1	Macarrão Alho e Óleo
P9q92arLO9N4w8Zikxfu	Pilão Assado
PEXcWgFHCIDtotZhk7LB	Empadão de Palmito
PVMQ3u8HIQNCnD8To4TN	Picanha Suína Grelhada
PmpkU7qYReIVHglLjTh6	Quibe Recheado
QDoN1O9KRgLGZfu58o2V	Bolinho de Carne Seca (Carne Seca Artesanal)
QKCw6Rofg970eYFWkToQ	Peixe à milanesa
QpeuYZQQ2XwSG6NfSP1r	R. Mix de Legumes
QsVOuEsCS2ARdGUUXMKQ	Brusqueta
R3ApjFgKPnhHEiDm024T	Ragú de carne
R3oJv8JHWR0gngT5dNjt	Lombo Suíno Oriental
R4blsfwexBig1xK52jq1	Calabresa Acebolada
RFQrT4anBPJs42nkxcf3	S. Tomate
RUQWBMNuR5pMbowiWrak	Costela com Mandioca
RkO06F1RxucVQTA5LfyZ	Kafta Assada
RoYvB247EE1PMuSjK0YD	Batata Doce Assada
S38KgtxFMnNe6uky5iLR	Bobó de Legumes
SfD4g5cQc39uyLLCxtym	R. Ervilha Refogada
SrpO56E9GyFuAdzxC1ty	Bisteca Grelhada
T3kFu2IxrTtuJNoj72YK	Isca de Carne Acebolada
TJvjVGd4tueCL3EJI5FB	Ovo Frito
TNsKVlV12xI3XqYjBYh7	R. Ratatouille
TwUrTqcDDVHRrWKsUKBP	Lagarto Assado (com Molho Ferrugem)
U3Hm5sCHMYrkAk3ECSoS	Ovo Cozido
UQT4rjnGWyl7AdJhYfH6	Maionese com Legumes
Ua9pZYW5DFdtDOf90qsI	Iscas de Carne c/ Molho de Requeijão
UixmBhIMbESQvZunN84X	Ponta de Peito na Cerveja
Uw4eRCs21VUlu8icwJSc	Ovos fritos
V6Yn0K2h5gHx5WsON3v2	Fricassê de Pernil
Vg9MyfUADCWC7mEyJ1cG	Pirão de legumes
VrBT2finsRhXzQG6C99G	Bife Grelhado
Vt0wYqLtF1Q0BX8s92cB	Rocambole de Frango
VuSGgITNgImiDEBekXh8	Arroz integral com brócolis
WBkZ6SQlapL9g0FBjbf4	Ragú de Fraldinha
WOagdpDfaUhm1cFbG4FW	Purê de Mandioquinha
X1THn0iEHDQK7v7nhHNR	Brócolis no alho
XNnQrWVKiyZnQ33j3zi7	Sofiatelli de Queijo
XilruDmJwxdkzIkg3E0S	S. Berinjela
YB0iimSDbEzxoDODGI9C	Purê de Batata
YTuSedqdSbqGuwDAHmcd	S. Rabanete
Ylm5yj9GfSlATDa2eHtT	Fraldinha Assada
YsLVk8mRLhrhH7nxc3SR	S. Feijão Branco
YweJ1GZXuhz3fntaJ5go	Nhoque
ZIM51RgRv84Jpe5I4cuI	Lasanha 4 Queijos
ZOWpFFoTmOo3CKxGcKAb	Bolinho de Arroz
ZPQlB7qlwiHgbi0BWemZ	Costelinha Assada
ZrmKFEjIlGvRcxr7QYIL	Iscas de Frango Grelhado
ZsRViIBS0P6jv6ctkh5T	Bolo de Cenoura
ZzbRlGNEMTRmm2BWonfs	Mini Pizza
a3wIhty9DvP2ul3xzSyI	Omelete Recheada
aGa0gtBWNbPLvJBI1SPR	S. Batatonese
